Region,State,TotalPop,TotalNum,TotalPercent
South,Alabama,5074296,3962734,78.1
West,Alaska,733583,557060,75.9
West,Arizona,7359197,5770187,78.4
South,Arkansas,3045637,2348518,77.1
West,California,39029342,30523315,78.2
West,Colorado,5839926,4624351,79.2
Northeast,Connecticut,3626205,2895175,79.8
South,Delaware,1018396,810269,79.6
South,District of Columbia,671803,547328,81.5
South,Florida,22244823,17948469,80.7
South,Georgia,10912876,8402753,77.0
West,Hawaii,1440196,1142870,79.4
West,Idaho,1939033,1475629,76.1
Midwest,Illinois,12582032,9861901,78.4
Midwest,Indiana,6833037,5263114,77.0
Midwest,Iowa,3200517,2476028,77.4
Midwest,Kansas,2937150,2246318,76.5
South,Kentucky,4512310,3507735,77.7
South,Louisiana,4590241,3528548,76.9
Northeast,Maine,1385340,1137442,82.1
South,Maryland,6164660,4818071,78.2
Northeast,Massachusetts,6981974,5644540,80.8
Midwest,Michigan,10034113,7924418,79.0
Midwest,Minnesota,5717184,4423022,77.4
South,Mississippi,2940057,2261996,76.9
Midwest,Missouri,6177957,4813049,77.9
West,Montana,1122867,889114,79.2
Midwest,Nebraska,1967923,1491246,75.8
West,Nevada,3177772,2487994,78.3
Northeast,New Hampshire,1395231,1142307,81.9
Northeast,New Jersey,9261699,7267590,78.5
West,New Mexico,2113344,1653831,78.3
Northeast,New York,19677151,15687863,79.7
South,North Carolina,10698973,8404094,78.6
Midwest,North Dakota,779261,596486,76.5
Midwest,Ohio,11756058,9193508,78.2
South,Oklahoma,4019800,3066654,76.3
West,Oregon,4240137,3403149,80.3
Northeast,Pennsylvania,12972008,10347543,79.8
Northeast,Rhode Island,1093734,889822,81.4
South,South Carolina,5282634,4164762,78.8
Midwest,South Dakota,909824,690659,75.9
South,Tennessee,7051339,5513202,78.2
South,Texas,30029572,22573234,75.2
West,Utah,3380800,2449192,72.4
Northeast,Vermont,647064,532307,82.3
South,Virginia,8683619,6816709,78.5
West,Washington,7785786,6139213,78.9
South,West Virginia,1775156,1423234,80.2
Midwest,Wisconsin,5892539,4646910,78.9
West,Wyoming,581381,451267,77.6
